scenario_week,weekday,meal,meal_time,menu,students_eligible,attendance_rate_simulated,meals_served_simulated,portions_prepared_simulated,food_waste_kg_simulated
7,Saturday,Dinner,7:30–8:50 PM,Moong Dal + Mushroom Masala + Dry Mutter + Rice + Roti + Chocolate Pastrie,1000,0.7379,738,801,59.71
7,Sunday,Breakfast,7:30–8:50 AM,Fried Idli + Sambar + Coconut Chutney + Veg Pulav + Chole + Bhature + Boondi Raita + Bread + Jam + Tea + Cutfruit,1000,0.6963,696,765,42.64
7,Sunday,Snacks,5:00–5:30 PM,Namkeen / Tea,1000,0.4324,432,461,27.39
7,Sunday,Dinner,7:30–8:50 PM,Black Chana Curry + Chilli Paneer + Aloo Tamater Sabji + Rice + Roti + Milk Cake,1000,0.6893,689,735,43.46
8,Monday,Breakfast,7:30–8:50 AM,Poha + Tawa sandwich + Bread + Jam + Fruit + Milk + Tea + Cornflakes,1000,0.7091,709,780,51.73
8,Monday,Lunch,12:30–1:50 PM,Dal Rajma + Lauki masala + Jeera Rice + Chapati + Salad + Plain Curd + Roti + Papad,1000,0.8563,856,910,74.19
8,Monday,Snacks,5:00–5:30 PM,Aloo Patties + Masala Tea,1000,0.4892,489,540,28.92
8,Monday,Dinner,7:30–8:50 PM,Dal Kali Masoor + Palak corn + Aloo Jeera + Rice + Roti + Sponge rasgulla,1000,0.7365,736,794,55.21
8,Tuesday,Breakfast,7:30–8:50 AM,Aloo paratha + Upma + Chutney + Milk + Tea + Cornflakes + Bread + Jam + Fruit,1000,0.7,700,766,62.49
8,Tuesday,Lunch,12:30–1:50 PM,Chole Masala + Kaddu Khata Meetha + Puri + Rice + Boondi Raita + Salad,1000,0.8657,866,932,67.84
8,Tuesday,Snacks,5:00–5:30 PM,Chilli potato + Tea,1000,0.4748,475,524,30.58
8,Tuesday,Dinner,7:30–8:50 PM,Chana dry + Mix dal + Aloo Nutri Masala + Rice + Roti + Mohan Kheer,1000,0.7914,791,859,70.37
8,Wednesday,Breakfast,7:30–8:50 AM,Chole Kulche + Poha + Milk + Tea + Cornflakes + Bread + Jam + Fruit,1000,0.7099,710,783,51.59
8,Wednesday,Lunch,12:30–1:50 PM,Arhar dal + Aloo Matar ki Subzi + Rice + Roti + Raita + Salad,1000,0.8435,843,905,81.3
8,Wednesday,Snacks,5:00–5:30 PM,Macroni + Tea,1000,0.4487,449,498,19.97
8,Wednesday,Dinner,7:30–8:50 PM,Dal Makhani + Shahi Paneer + Roti + Rice + Rasgulla,1000,0.7744,774,852,82.0
8,Thursday,Breakfast,7:30–8:50 AM,Idli + SAmber + Chutney + Vegetable Daliya + Corn Flakes + Milk + Bread + Jam + Tea + Fruits,1000,0.6651,665,712,49.08
8,Thursday,Lunch,12:30–1:50 PM,Kadi Pakoda + Allo Bhujiya + Malka Dal + Rice + Roti + Pyaj Laccha,1000,0.8071,807,863,67.26
8,Thursday,Snacks,5:00–5:30 PM,Baby Pizza + Tea,1000,0.4951,495,538,30.19
8,Thursday,Dinner,7:30–8:50 PM,Dal Arhar + Veg machurian + Chowmein + Jeera Rice + Roti + Ice cream,1000,0.7213,721,799,59.25
8,Friday,Breakfast,7:30–8:50 AM,Aloo + Bhaji + Poori + Suji Haluwa + Corn Flakes + Milk + Bread + Jam + Tea + Fruits,1000,0.6976,698,752,38.64
8,Friday,Lunch,12:30–1:50 PM,Chana Dal + Aloo Shimla + Jeera Rice + Mix raita + Salad + Roti,1000,0.8376,838,911,71.52
8,Friday,Snacks,5:00–5:30 PM,Bread Pakoda + Tea,1000,0.4252,425,460,28.41
8,Friday,Dinner,7:30–8:50 PM,Dhaba Dal + Veg Pulav + Soya Chaap + Karela Fry + Roti + Brownie,1000,0.7584,758,839,84.42
8,Saturday,Breakfast,7:30–8:50 AM,Pav + Bhaji + Veg Vermicilly + Cornflakes + Milk + Tea + Bread + Jam + Fruit,1000,0.6592,659,719,56.97
8,Saturday,Lunch,12:30–1:50 PM,Dal Tadka + Jeera Rice + MixVeg + Curd + Salad + Roti,1000,0.7804,780,830,69.93
8,Saturday,Snacks,5:00–5:30 PM,Aloo Ki Sabji Khasta Kachori + Lassi,1000,0.4371,437,472,27.54
8,Saturday,Dinner,7:30–8:50 PM,Moong Dal + Mushroom Masala + Dry Mutter + Rice + Roti + Chocolate Pastrie,1000,0.7089,709,760,49.91
8,Sunday,Breakfast,7:30–8:50 AM,Fried Idli + Sambar + Coconut Chutney + Veg Pulav + Chole + Bhature + Boondi Raita + Bread + Jam + Tea + Cutfruit,1000,0.6574,657,708,48.79
8,Sunday,Snacks,5:00–5:30 PM,Namkeen / Tea,1000,0.4439,444,482,19.7
8,Sunday,Dinner,7:30–8:50 PM,Black Chana Curry + Chilli Paneer + Aloo Tamater Sabji + Rice + Roti + Milk Cake,1000,0.6993,699,753,57.85
